2025-07-20 13:50:59,842 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:50:59,842 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:50:59,845 - INFO - ✅ Server started successfully:
2025-07-20 13:50:59,845 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:50:59,845 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:50:59,845 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:50:59,845 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 13:53:01,152 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:53:01,152 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:53:01,156 - INFO - ✅ Server started successfully:
2025-07-20 13:53:01,156 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:53:01,156 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:53:01,156 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:53:01,156 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 14:11:14,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:16,482 - WARNING - No stats available, using fallback
2025-07-20 14:11:17,199 - WARNING - No stats available, using fallback
2025-07-20 14:11:17,247 - WARNING - No stats available, using fallback
2025-07-20 14:11:17,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:18,478 - WARNING - No stats available, using fallback
2025-07-20 14:11:20,477 - WARNING - No stats available, using fallback
2025-07-20 14:11:21,475 - WARNING - No stats available, using fallback
2025-07-20 14:11:22,475 - WARNING - No stats available, using fallback
2025-07-20 14:11:23,540 - WARNING - No stats available, using fallback
2025-07-20 14:11:24,473 - WARNING - No stats available, using fallback
2025-07-20 14:11:25,477 - WARNING - No stats available, using fallback
2025-07-20 14:11:27,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:28,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:29,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:31,475 - WARNING - No stats available, using fallback
2025-07-20 14:11:32,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:33,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:35,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:36,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:37,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:39,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:40,478 - WARNING - No stats available, using fallback
2025-07-20 14:11:41,477 - WARNING - No stats available, using fallback
2025-07-20 14:11:43,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:44,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:45,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:47,473 - WARNING - No stats available, using fallback
2025-07-20 14:11:48,478 - WARNING - No stats available, using fallback
2025-07-20 14:11:49,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:51,475 - WARNING - No stats available, using fallback
2025-07-20 14:11:52,476 - WARNING - No stats available, using fallback
2025-07-20 14:11:54,477 - WARNING - No stats available, using fallback
2025-07-20 14:11:55,474 - WARNING - No stats available, using fallback
2025-07-20 14:11:56,477 - WARNING - No stats available, using fallback
2025-07-20 14:11:58,475 - WARNING - No stats available, using fallback
2025-07-20 14:11:59,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:00,478 - WARNING - No stats available, using fallback
2025-07-20 14:12:02,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:03,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:04,478 - WARNING - No stats available, using fallback
2025-07-20 14:12:06,474 - WARNING - No stats available, using fallback
2025-07-20 14:12:07,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:08,476 - WARNING - No stats available, using fallback
2025-07-20 14:12:10,474 - WARNING - No stats available, using fallback
2025-07-20 14:12:11,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:12,474 - WARNING - No stats available, using fallback
2025-07-20 14:12:14,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:15,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:16,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:18,479 - WARNING - No stats available, using fallback
2025-07-20 14:12:19,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:20,478 - WARNING - No stats available, using fallback
2025-07-20 14:12:22,474 - WARNING - No stats available, using fallback
2025-07-20 14:12:23,483 - WARNING - No stats available, using fallback
2025-07-20 14:12:25,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:26,474 - WARNING - No stats available, using fallback
2025-07-20 14:12:27,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:29,476 - WARNING - No stats available, using fallback
2025-07-20 14:12:30,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:31,476 - WARNING - No stats available, using fallback
2025-07-20 14:12:33,475 - WARNING - No stats available, using fallback
2025-07-20 14:12:34,477 - WARNING - No stats available, using fallback
2025-07-20 14:12:35,478 - WARNING - No stats available, using fallback
2025-07-20 14:12:37,474 - WARNING - No stats available, using fallback
2025-07-20 14:12:38,476 - WARNING - No stats available, using fallback
2025-07-20 14:12:39,475 - WARNING - No stats available, using fallback
